Columna,Tipo,Nulos_finales,%_Completitud
S11_ESTU_CONSECUTIVO,object,0,100.0
SPRO_ESTU_CONSECUTIVO,object,0,100.0
estu_consecutivo_sbtyt,object,0,100.0
S11_est_S11_ESTU_PILOPAGA,object,0,100.0
S11_est_S11_ESTU_PRIVADO_LIBERTAD,object,0,100.0
S11_est_S11_ESTU_ANTECEDENTES,object,0,100.0
S11_est_S11_ESTU_AREARESIDE,object,0,100.0
S11_est_S11_ESTU_COD_DEPTO_PRESENTACION,float64,0,100.0
S11_est_S11_ESTU_COD_MCPIO_PRESENTACION,float64,0,100.0
S11_est_S11_ESTU_COD_RESIDE_DEPTO,float64,0,100.0
S11_est_S11_ESTU_COD_RESIDE_MCPIO,float64,0,100.0
S11_est_S11_ESTU_DEPTO_PRESENTACION,object,0,100.0
S11_est_S11_ESTU_DEPTO_RESIDE,object,0,100.0
S11_est_S11_ESTU_ESTADOINVESTIGACION,object,0,100.0
S11_est_S11_ESTU_ESTUDIANTE,object,0,100.0
S11_est_S11_ESTU_ETNIA,object,0,100.0
S11_est_S11_ESTU_EXPECTATIVAS,object,0,100.0
S11_est_S11_ESTU_FECHANACIMIENTO,object,0,100.0
S11_est_S11_ESTU_GENERO,object,0,100.0
S11_est_S11_ESTU_INSE_INDIVIDUAL,object,0,100.0
S11_est_S11_ESTU_MCPIO_PRESENTACION,object,0,100.0
S11_est_S11_ESTU_MCPIO_RESIDE,object,0,100.0
S11_est_S11_ESTU_NACIONALIDAD,object,0,100.0
S11_est_S11_ESTU_NSE_INDIVIDUAL,object,0,100.0
S11_est_S11_ESTU_PAIS_RESIDE,object,0,100.0
S11_est_S11_ESTU_PUESTO,float64,0,100.0
S11_est_S11_ESTU_TIPODOCUMENTO,object,0,100.0
S11_est_S11_ESTU_TRABAJAACTUALMENTE,object,0,100.0
S11_est_S11_ESTU_VALORPENSIONCOLEGIO,object,0,100.0
S11_est_S11_ESTU_VECESPRESENTOEXAMEN,object,0,100.0
S11_est_S11_PERIODO,int64,0,100.0
S11_res_S11_PUNT_COMP_CIUDADANA,float64,0,100.0
S11_res_S11_PUNT_GLOBAL,float64,0,100.0
S11_res_S11_PUNT_INGLES,float64,0,100.0
S11_res_S11_PUNT_LECTURA_CRITICA,float64,0,100.0
S11_res_S11_PUNT_MATEMATICAS,float64,0,100.0
S11_res_S11_PUNT_RAZONA_CUANTITATIVO,float64,0,100.0
S11_res_S11_PUNT_SOCIALES_CIUDADANAS,float64,0,100.0
SPRO_est_SPRO_ESTU_CONSECUTIVO,object,0,100.0
SPRO_est_SPRO_PERIODO,int64,0,100.0
SPRO_est_SPRO_ESTU_TIPODOCUMENTO,object,0,100.0
SPRO_est_SPRO_ESTU_AREARESIDE,object,0,100.0
SPRO_est_SPRO_ESTU_COD_COLE_MCPIO_TERMINO,float64,0,100.0
SPRO_est_SPRO_ESTU_COD_DEPTO_PRESENTACION,float64,0,100.0
SPRO_est_SPRO_ESTU_COD_MCPIO_PRESENTACION,float64,0,100.0
SPRO_est_SPRO_ESTU_COD_RESIDE_DEPTO,float64,0,100.0
SPRO_est_SPRO_ESTU_COD_RESIDE_MCPIO,float64,0,100.0
SPRO_est_SPRO_ESTU_CODDANE_COLE_TERMINO,float64,0,100.0
SPRO_est_SPRO_ESTU_COLE_TERMINO,object,0,100.0
SPRO_est_SPRO_ESTU_COMOCAPACITOEXAMENSB11,object,0,100.0
SPRO_est_SPRO_ESTU_DEPTO_PRESENTACION,object,0,100.0
SPRO_est_SPRO_ESTU_DEPTO_RESIDE,object,0,100.0
SPRO_est_SPRO_ESTU_ESTADOINVESTIGACION,object,0,100.0
SPRO_est_SPRO_ESTU_ESTUDIANTE,object,0,100.0
SPRO_est_SPRO_ESTU_EXTERIOR,object,0,100.0
est_SPRO_ESTU_FECHANACIMIENTO,object,0,100.0
SPRO_est_SPRO_ESTU_GENERO,object,0,100.0
SPRO_est_SPRO_ESTU_HORASSEMANATRABAJA,object,0,100.0
SPRO_est_SPRO_ESTU_INSE_INDIVIDUAL,object,0,100.0
SPRO_est_SPRO_ESTU_MCPIO_PRESENTACION,object,0,100.0
SPRO_est_SPRO_ESTU_MCPIO_RESIDE,object,0,100.0
SPRO_est_SPRO_ESTU_METODO_PRGM,object,0,100.0
SPRO_est_SPRO_ESTU_NACIONALIDAD,object,0,100.0
SPRO_est_SPRO_ESTU_NSE_IES,float64,0,100.0
SPRO_est_SPRO_ESTU_NSE_INDIVIDUAL,float64,0,100.0
SPRO_est_SPRO_ESTU_PAIS_RESIDE,object,0,100.0
SPRO_est_SPRO_ESTU_PRGM_ACADEMICO,object,0,100.0
SPRO_est_SPRO_ESTU_PRGM_CODMUNICIPIO,int64,0,100.0
SPRO_est_SPRO_ESTU_PRGM_DEPARTAMENTO,object,0,100.0
SPRO_est_SPRO_ESTU_PRGM_MUNICIPIO,object,0,100.0
SPRO_est_SPRO_ESTU_PRIVADO_LIBERTAD,object,0,100.0
SPRO_est_SPRO_ESTU_TIPODOCUMENTOSB11,object,0,100.0
SPRO_ins_SPRO_ESTU_INST_CODMUNICIPIO,int64,0,100.0
SPRO_ins_SPRO_ESTU_INST_DEPARTAMENTO,object,0,100.0
SPRO_ins_SPRO_ESTU_INST_MUNICIPIO,object,0,100.0
SPRO_ins_SPRO_ESTU_NIVEL_PRGM_ACADEMICO,object,0,100.0
