,Media,Mediana,Desviación,Mínimo,Máximo,N,% > 0
VA_SIMPLE_TYT_COMPETENCIAS_CIUDADANAS,44.714285714285715,48.0,28.76754123263628,-3.0,73.0,7.0,85.71428571428571
VA_SIMPLE_PRO_COMPETENCIAS_CIUDADANAS,81.85714285714286,93.0,26.460212719153585,28.0,103.0,7.0,100.0
VA_ESTANDAR_TYT_COMPETENCIAS_CIUDADANAS,-3.172065784643304e-17,0.11421602768006807,1.0,-1.6586153584844672,0.9832510208979776,7.0,57.14285714285714
VA_ESTANDAR_PRO_COMPETENCIAS_CIUDADANAS,-1.9825411154020654e-16,0.4211174438061577,1.0,-2.0354009783964297,0.799043354914248,7.0,57.14285714285714
VA_SIMPLE_TYT_LECTURA_CRITICA,55.714285714285715,59.0,18.68791307872806,19.0,75.0,7.0,100.0
VA_SIMPLE_PRO_LECTURA_CRITICA,87.85714285714286,84.0,20.4811179010373,68.0,122.0,7.0,100.0
VA_ESTANDAR_TYT_LECTURA_CRITICA,-6.344131569286608e-17,0.17582028939626884,0.9999999999999999,-1.9646006249930916,1.031988655152013,7.0,57.14285714285714
VA_ESTANDAR_PRO_LECTURA_CRITICA,-1.7446361815538174e-16,-0.18832677375230136,1.0,-0.9695341315396248,1.6670407009925916,7.0,28.57142857142857
VA_SIMPLE_TYT_INGLES,60.857142857142854,66.0,17.449246129165306,30.0,81.0,7.0,100.0
VA_SIMPLE_PRO_INGLES,107.71428571428571,107.0,8.360906763309941,95.0,121.0,7.0,100.0
VA_ESTANDAR_TYT_INGLES,1.427429603089487e-16,0.29473233999841325,1.0,-1.7683940399904785,1.1543683316604514,7.0,71.42857142857143
VA_ESTANDAR_PRO_INGLES,6.819941436983105e-16,-0.08543160861692645,0.9999999999999999,-1.520682633381303,1.589027920274846,7.0,42.857142857142854
VA_SIMPLE_TYT_RAZONAMIENTO_CUANTITATIVO,46.57142857142857,45.0,17.69987893421066,22.0,67.0,7.0,100.0
VA_SIMPLE_PRO_RAZONAMIENTO_CUANTITATIVO,70.42857142857143,68.0,42.07080200034676,19.0,118.0,7.0,100.0
VA_ESTANDAR_TYT_RAZONAMIENTO_CUANTITATIVO,9.516197353929913e-17,-0.08878188247894073,1.0,-1.3882257987616204,1.154164472226231,7.0,42.857142857142854
VA_ESTANDAR_PRO_RAZONAMIENTO_CUANTITATIVO,-3.172065784643304e-17,-0.05772581726755325,1.0,-1.2224290715481854,1.1307468911820715,7.0,42.857142857142854
VA_SIMPLE_TYT_PUNTAJE_GLOBAL,-171.28571428571428,-169.0,24.97141222621237,-211.0,-141.0,7.0,0.0
VA_SIMPLE_PRO_PUNTAJE_GLOBAL,-134.28571428571428,-133.0,23.149616884621697,-158.0,-95.0,7.0,0.0
VA_ESTANDAR_TYT_PUNTAJE_GLOBAL,-3.489272363107635e-16,0.09153324069172886,1.0,-1.590390057018795,1.2128154391654113,7.0,57.14285714285714
VA_ESTANDAR_PRO_PUNTAJE_GLOBAL,-3.1720657846433045e-16,0.055539333204618964,0.9999999999999999,-1.0243921457740899,1.6970351812522564,7.0,57.14285714285714
