Columna,Tipo,No_nulos,Nulos,%_Nulos,Valores_únicos,Categoría
S11_ESTU_CONSECUTIVO,object,7,0,0.0,7,Clave (ID/Resultados)
SPRO_ESTU_CONSECUTIVO,object,7,0,0.0,7,Clave (ID/Resultados)
estu_consecutivo_sbtyt,object,7,0,0.0,7,Evaluar
S11_est_S11_ESTU_LIMITA_CONDICIONESPECIAL,object,0,7,100.0,0,Excluir
S11_est_S11_ESTU_LIMITA_SDOWN,float64,0,7,100.0,0,Excluir
S11_est_S11_ESTU_LIMITA_SORDO,float64,0,7,100.0,0,Excluir
S11_est_S11_ESTU_MCPIOIESDESEADA,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_MESTERMINOBACHILLER,object,0,7,100.0,0,Excluir
S11_est_S11_ESTU_MOTIVO_PRESENTAVALIDACION,object,0,7,100.0,0,Excluir
S11_est_S11_ESTU_PILOPAGA,object,7,0,0.0,1,Evaluar
S11_est_S11_ESTU_PRIVADO_LIBERTAD,object,7,0,0.0,1,Evaluar
S11_est_S11_ESTU_PROGORIENTACIONVOCACIONAL,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_PROGPORBUSCANDOCARRERA,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_PROGPORCOLOMBIAAPRENDE,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_PROGPORINFLUENCIAALGUIEN,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_PROGPORINTERESPERSONAL,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_PROGPORMEJORARPOSICSOCIAL,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_PROGPORTRADICIONFAMILIAR,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_AGREGADO,object,0,7,100.0,0,Excluir
S11_est_S11_ESTU_ANOMATRICULAPRIMERO,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_ANOMATRICULASEXTO,float64,1,6,85.71,1,Excluir
S11_est_S11_ESTU_ANOSCOLEGIOACTUAL,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_ANOSPREESCOLAR,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_ANOTERMINOBACHILLER,float64,0,7,100.0,0,Excluir
S11_est_S11_ESTU_ANOTERMINOQUINTO,float64,1,6,85.71,1,Excluir
S11_est_S11_ESTU_ANTECEDENTES,object,7,0,0.0,2,Evaluar
S11_est_S11_ESTU_AREARESIDE,object,7,0,0.0,1,Evaluar
S11_est_S11_ESTU_COD_DEPTO_PRESENTACION,float64,7,0,0.0,1,Evaluar
S11_est_S11_ESTU_COD_IESDESEADA,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_COD_MCPIO_PRESENTACION,float64,7,0,0.0,2,Evaluar
S11_est_S11_ESTU_COD_MCPIOIESDESEADA,float64,1,6,85.71,1,Excluir
S11_est_S11_ESTU_COD_PROGRAMADESEADO,float64,1,6,85.71,1,Excluir
S11_est_S11_ESTU_COD_RESIDE_DEPTO,float64,7,0,0.0,1,Evaluar
S11_est_S11_ESTU_COD_RESIDE_MCPIO,float64,7,0,0.0,2,Evaluar
S11_est_S11_ESTU_CUANTOSCOLEGIOESTUDIO,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_DEDICACIONINTERNET,object,0,7,100.0,0,Excluir
S11_est_S11_ESTU_DEDICACIONLECTURADIARIA,object,0,7,100.0,0,Excluir
S11_est_S11_ESTU_DEPTO_PRESENTACION,object,7,0,0.0,1,Evaluar
S11_est_S11_ESTU_DEPTO_RESIDE,object,7,0,0.0,1,Evaluar
S11_est_S11_ESTU_DISCAPACIDAD,object,0,7,100.0,0,Excluir
S11_est_S11_ESTU_ESTADOINVESTIGACION,object,7,0,0.0,1,Evaluar
S11_est_S11_ESTU_ESTUDIANTE,object,7,0,0.0,1,Evaluar
S11_est_S11_ESTU_ETNIA,object,7,0,0.0,1,Excluir
S11_est_S11_ESTU_EXPECTATIVAS,object,7,0,0.0,1,Evaluar
S11_est_S11_ESTU_FECHANACIMIENTO,object,7,0,0.0,7,Evaluar
S11_est_S11_ESTU_GENERACIONE,object,0,7,100.0,0,Excluir
S11_est_S11_ESTU_GENERO,object,7,0,0.0,2,Evaluar
S11_est_S11_ESTU_GRADO,float64,0,7,100.0,0,Excluir
S11_est_S11_ESTU_HORASSEMANATRABAJA,object,0,7,100.0,0,Excluir
S11_est_S11_ESTU_IESDESEADA,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_INGRESAR_PROG_EDUSUPERIOR,object,0,7,100.0,0,Excluir
S11_est_S11_ESTU_INSE_INDIVIDUAL,object,7,0,0.0,7,Socioeconómico
S11_est_S11_ESTU_INSTPORAMIGOSESTUDIANDO,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_INSTPORCOSTOMATRICULA,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_INSTPOROPORTUNIDADES,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_INSTPOROTRARAZON,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_INSTPORPRESTIGIO,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_INSTPORUBICACION,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_INSTPORUNICAQUEOFRECE,object,1,6,85.71,1,Excluir
S11_est_S11_ESTU_LIMITA_AUTISMO,float64,0,7,100.0,0,Excluir
S11_est_S11_ESTU_LIMITA_INVIDENTE,float64,0,7,100.0,0,Excluir
S11_est_S11_ESTU_LIMITA_MOTRIZ,float64,0,7,100.0,0,Excluir
S11_est_S11_ESTU_MCPIO_PRESENTACION,object,7,0,0.0,2,Evaluar
